#OG_name	GCF_021155775.1_iyNeoPine1.1_protein.faa	GCF_021901455.1_iyNeoLeco1.1_protein.faa	GCF_021901495.1_iyNeoVirg1.1_protein.faa	GCF_021155785.1_iyNeoFabr1.1_protein.faa	GCF_021155765.1_iyDipSimi1.1_protein.faa
OG_30	XP_046470835.1 XP_046470836.1 XP_046470837.1 XP_046470838.1 XP_046470839.1 XP_046470841.1 XP_046470842.1 XP_046470843.1	XP_046591081.1 XP_046591082.1 XP_046591083.1 XP_046591084.1 XP_046591085.1 XP_046591086.1 XP_015521297.2 XP_015521298.2	XP_046611468.1 XP_046611469.1 XP_046611470.1 XP_046611471.1 XP_046611472.1 XP_046611473.1 XP_046611474.1	XP_046415063.1 XP_046415064.1 XP_046415065.1 XP_046415066.1 XP_046415067.1 XP_046415068.1 XP_046415069.1	XP_046738487.1
OG_31	XP_046473887.1 XP_046473888.1 XP_046473889.1	XP_015515429.1 XP_015515428.1 XP_046591139.1	XP_046611479.1 XP_046611480.1 XP_046611481.1	XP_046418073.1 XP_046418071.1 XP_046418072.1	XP_046739395.1 XP_046739396.1
OG_32	XP_046473902.1 XP_046473903.1 XP_046473904.1	XP_046591146.1 XP_015515430.1 XP_015515431.1	XP_046611490.1 XP_046611491.1 XP_046611492.1	XP_046418084.1 XP_046418085.1 XP_046418086.1	XP_046739678.1 XP_046739679.1
OG_33	XP_046473905.1 XP_046473906.1 XP_046473907.1 XP_046473908.1	XP_015515425.1 XP_015515426.1 XP_046591147.1 XP_046591148.1	XP_046611494.1 XP_046611495.1 XP_046611496.1 XP_046611493.1	XP_046418089.1 XP_046418090.1 XP_046418087.1 XP_046418088.1	XP_046739681.1 XP_046739682.1 XP_046739683.1 XP_046739684.1
OG_34	XP_046473910.1 XP_046473911.1 XP_046473909.1	XP_046591150.1 XP_046591151.1 XP_015515427.2	XP_046611497.1 XP_046611498.1 XP_046611499.1	XP_046418092.1 XP_046418093.1 XP_046418094.1	XP_046739686.1
OG_35	XP_046473802.1 XP_046473803.1 XP_046473804.1	XP_015510552.1 XP_046590562.1 XP_046590563.1	XP_046611501.1 XP_046611502.1 XP_046611503.1 XP_046611504.1 XP_046611505.1	XP_046418345.1 XP_046418346.1 XP_046418347.1 XP_046418344.1	XP_046737510.1 XP_046737508.1 XP_046737509.1
OG_36	XP_046473807.1 XP_046473808.1 XP_046473809.1 XP_046473810.1	XP_046590566.1 XP_046590567.1 XP_046590568.1 XP_046590569.1	XP_046611510.1 XP_046611507.1 XP_046611508.1 XP_046611509.1	XP_046416148.1 XP_046416149.1 XP_046416150.1 XP_046416151.1	XP_046737486.1 XP_046737488.1 XP_046737489.1 XP_046737490.1
OG_37	XP_046473811.1 XP_046473812.1 XP_046473813.1 XP_046473814.1 XP_046473815.1	XP_046590570.1 XP_046590571.1 XP_046590572.1 XP_046590574.1 XP_015510560.2	XP_046611511.1 XP_046611512.1 XP_046611514.1 XP_046611515.1 XP_046611516.1 XP_046611517.1	XP_046416583.1 XP_046416584.1 XP_046416585.1 XP_046416587.1 XP_046418352.1 XP_046418353.1 XP_046418354.1 XP_046418355.1 XP_046418356.1 XP_046418357.1	XP_046737513.1 XP_046737514.1 XP_046737516.1
OG_38	XP_046473817.1 XP_046473818.1 XP_046473819.1	XP_046590575.1 XP_046590576.1 XP_046590577.1	XP_046611519.1 XP_046611520.1	XP_046418363.1 XP_046418364.1 XP_046418365.1	XP_046737517.1
OG_39	XP_046473855.1 XP_046473856.1 XP_046473857.1 XP_046473858.1 XP_046473860.1 XP_046473861.1	XP_015519706.1 XP_015519707.1 XP_015519708.1 XP_046591203.1 XP_046591204.1 XP_046591205.1	XP_046611602.1 XP_046611603.1 XP_046611604.1 XP_046611605.1 XP_046611606.1 XP_046611607.1	XP_046417348.1 XP_046417349.1 XP_046417350.1 XP_046417351.1 XP_046417352.1 XP_046417353.1 XP_046417354.1	XP_046738279.1 XP_046738280.1 XP_046738281.1 XP_046738282.1
OG_40	XP_046473866.1 XP_046471640.1 XP_046477058.1 XP_046477059.1 XP_046476996.1	XP_015518892.1 XP_015519709.1 XP_046592931.1 XP_046592899.1 XP_046592900.1	XP_046614572.1 XP_046614573.1 XP_046614446.1 XP_046608593.1 XP_046611610.1	XP_046420675.1 XP_046416875.1 XP_046417361.1 XP_046420732.1 XP_046420733.1	XP_046742896.1 XP_046741458.1 XP_046738290.1 XP_046741459.1 XP_046738501.1
OG_41	XP_046474192.1 XP_046474193.1 XP_046474194.1	XP_015513379.2 XP_015513380.2 XP_015513381.2	XP_046611614.1 XP_046611615.1 XP_046611612.1	XP_046418405.1 XP_046418407.1 XP_046418408.1	XP_046739331.1 XP_046739332.1 XP_046739333.1
OG_42	XP_046474198.1 XP_046474197.1	XP_046591214.1 XP_015513387.1	XP_046611620.1 XP_046611621.1	XP_046418412.1 XP_046418413.1	XP_046739336.1 XP_046739338.1
OG_43	XP_046474017.1 XP_046474018.1	XP_046590774.1 XP_015516869.2	XP_046611630.1 XP_046611631.1	XP_046418233.1 XP_046418232.1	XP_046739464.1
OG_44	XP_046473062.1 XP_046473063.1 XP_046473064.1 XP_046473066.1 XP_046473067.1 XP_046473068.1 XP_046473069.1 XP_046473070.1 XP_046473071.1 XP_046473072.1 XP_046473073.1	XP_015513360.2 XP_046590739.1 XP_046590740.1 XP_046590741.1 XP_046590742.1 XP_046590744.1 XP_046590745.1 XP_046590746.1 XP_046590747.1 XP_046590748.1 XP_046590749.1 XP_046590750.1 XP_046590751.1	XP_046611661.1 XP_046611662.1 XP_046611663.1 XP_046611664.1 XP_046611665.1 XP_046611667.1 XP_046611668.1 XP_046611669.1 XP_046611670.1 XP_046611671.1 XP_046611672.1 XP_046611673.1	XP_046417838.1 XP_046417839.1 XP_046417840.1 XP_046417841.1 XP_046417842.1 XP_046417843.1 XP_046417844.1 XP_046417845.1 XP_046417846.1 XP_046417847.1 XP_046417848.1 XP_046417849.1	XP_046737794.1
OG_45	XP_046473078.1 XP_046473074.1 XP_046473075.1 XP_046473077.1	XP_015513369.1 XP_046590753.1 XP_015513368.1	XP_046611674.1 XP_046611675.1 XP_046611676.1	XP_046417851.1 XP_046417852.1 XP_046417853.1	XP_046739496.1
OG_46	XP_046474278.1 XP_046474277.1	XP_015522920.1 XP_015522911.1	XP_046611718.1 XP_046611717.1	XP_046418245.1	XP_046738001.1 XP_046738002.1
OG_47	XP_046474279.1 XP_046474281.1	XP_015523093.2 XP_046591301.1	XP_046611719.1 XP_046611720.1	XP_046418247.1 XP_046418248.1	XP_046738410.1 XP_046738411.1
OG_48	XP_046474282.1 XP_046474283.1 XP_046474284.1 XP_046474285.1 XP_046474286.1 XP_046474287.1	XP_046591302.1 XP_046591303.1 XP_046591304.1 XP_046591305.1 XP_046591306.1 XP_015523102.2	XP_046611721.1 XP_046611723.1 XP_046611724.1 XP_046611725.1 XP_046611726.1 XP_046611727.1	XP_046418249.1 XP_046418250.1 XP_046418251.1 XP_046418252.1 XP_046418253.1 XP_046418254.1	XP_046738318.1 XP_046738319.1
OG_49	XP_046473594.1	XP_015519749.1 XP_046590903.1 XP_046590904.1	XP_046611737.1 XP_046611738.1	XP_046417913.1 XP_046417914.1 XP_046417912.1	XP_046738786.1
OG_50	XP_046473598.1 XP_046473599.1	XP_046590906.1 XP_015519744.2	XP_046611740.1 XP_046611741.1	XP_046417917.1 XP_046417918.1	XP_046738787.1
OG_51	XP_046472878.1 XP_046472880.1	XP_015524240.2 XP_046590355.1	XP_046611751.1 XP_046611752.1	XP_046416834.1	
OG_52	XP_046472881.1	XP_015524248.1	XP_046611753.1 XP_046611755.1	XP_046416835.1	XP_046739487.1
OG_53	XP_046493270.1 XP_046493271.1 XP_046493268.1 XP_046493269.1	XP_015518170.2	XP_046611762.1 XP_046611754.1 XP_046611779.1 XP_046611773.1	XP_046433450.1 XP_046433287.1 XP_046433368.1	XP_046745018.1 XP_046745010.1
OG_54	XP_046470887.1 XP_046470888.1 XP_046470881.1 XP_046470882.1 XP_046470883.1 XP_046470884.1 XP_046470885.1	XP_046589254.1 XP_046589255.1 XP_015514025.1 XP_046589250.1 XP_046589251.1 XP_046589252.1 XP_046589253.1	XP_046611768.1 XP_046611769.1 XP_046611770.1 XP_046611771.1 XP_046611772.1	XP_046416796.1 XP_046416797.1 XP_046416798.1 XP_046416799.1	
OG_55	XP_046470895.1 XP_046470896.1	XP_015522208.1 XP_015522209.1	XP_046611776.1 XP_046611777.1	XP_046416817.1 XP_046416818.1	
OG_56	XP_046473710.1 XP_046473711.1 XP_046473709.1	XP_046589766.1 XP_015522771.2 XP_046589765.1	XP_046611809.1 XP_046611811.1 XP_046611812.1	XP_046417773.1 XP_046417774.1 XP_046417775.1	XP_046738719.1
OG_57	XP_046493366.1 XP_046493376.1	XP_046595344.1 XP_015516631.2	XP_046611825.1 XP_046611835.1	XP_046434707.1 XP_046434622.1	XP_046745091.1 XP_046745100.1
OG_58	XP_046475046.1 XP_046475047.1 XP_046475048.1 XP_046475049.1 XP_046475050.1 XP_046475051.1 XP_046475052.1 XP_046475044.1 XP_046475045.1	XP_046591238.1 XP_046591239.1 XP_046591240.1 XP_046591241.1 XP_046591242.1 XP_046591243.1 XP_046591233.1 XP_046591235.1 XP_046591236.1 XP_046591237.1	XP_046611846.1 XP_046611847.1 XP_046611848.1 XP_046611849.1 XP_046611850.1 XP_046611851.1 XP_046611842.1 XP_046611844.1 XP_046611845.1	XP_046419048.1 XP_046419049.1 XP_046419050.1 XP_046419051.1 XP_046419052.1 XP_046419054.1 XP_046419055.1 XP_046419056.1	XP_046738254.1 XP_046738251.1 XP_046738252.1 XP_046738253.1
OG_59	XP_046473793.1 XP_046473794.1	XP_046591244.1 XP_046591245.1	XP_046611858.1 XP_046611859.1	XP_046418274.1 XP_046418275.1	XP_046738011.1
OG_60	XP_046473795.1 XP_046473796.1	XP_046591246.1 XP_046591247.1 XP_015520427.1	XP_046611862.1 XP_046611860.1	XP_046418290.1 XP_046418291.1	XP_046739300.1
OG_61	XP_046474182.1 XP_046474172.1 XP_046474174.1 XP_046474175.1 XP_046474176.1 XP_046474177.1 XP_046474178.1 XP_046474179.1 XP_046474180.1 XP_046474181.1	XP_046591270.1 XP_046591271.1 XP_046591272.1 XP_046591273.1 XP_046591264.1 XP_046591265.1 XP_046591266.1 XP_046591267.1 XP_046591268.1 XP_046591269.1	XP_046611879.1 XP_046611870.1 XP_046611871.1 XP_046611872.1 XP_046611873.1 XP_046611874.1 XP_046611875.1 XP_046611876.1 XP_046611877.1	XP_046418389.1 XP_046418390.1 XP_046418391.1 XP_046418392.1 XP_046418393.1 XP_046418394.1 XP_046418396.1 XP_046418397.1 XP_046418398.1	XP_046740045.1 XP_046740046.1 XP_046740047.1 XP_046740048.1 XP_046740050.1 XP_046740051.1 XP_046740052.1 XP_046740053.1 XP_046740054.1
OG_62	XP_046473323.1 XP_046473324.1	XP_015519172.2 XP_046591005.1	XP_046611926.1 XP_046611927.1	XP_046418110.1 XP_046418111.1	XP_046737815.1 XP_046737816.1
OG_63	XP_046473327.1 XP_046473328.1	XP_046590035.1 XP_046590036.1	XP_046611928.1 XP_046611929.1	XP_046416481.1 XP_046416480.1	XP_046738992.1 XP_046738993.1 XP_046738994.1
OG_64	XP_046473344.1 XP_046473345.1	XP_046591007.1 XP_015519167.1	XP_046611942.1 XP_046611943.1	XP_046418125.1 XP_046418126.1	XP_046739020.1
OG_65	XP_046474160.1 XP_046474161.1	XP_015523684.2 XP_046591283.1	XP_046611962.1 XP_046611963.1	XP_046417265.1 XP_046417266.1	XP_046738590.1 XP_046738588.1
OG_66	XP_046474999.1 XP_046475000.1 XP_046475001.1 XP_046475002.1 XP_046475003.1 XP_046475004.1	XP_046590988.1 XP_046590989.1 XP_046590990.1 XP_046590992.1 XP_015520217.1 XP_015520218.1	XP_046611974.1 XP_046611975.1 XP_046611976.1 XP_046611970.1 XP_046611971.1 XP_046611972.1	XP_046415777.1 XP_046415778.1 XP_046415779.1 XP_046415780.1 XP_046415781.1 XP_046415782.1	XP_046740158.1 XP_046740159.1 XP_046740160.1 XP_046740161.1 XP_046740162.1
OG_67	XP_046475005.1 XP_046475006.1 XP_046475007.1 XP_046475008.1 XP_046475009.1	XP_046590993.1 XP_015521255.1 XP_015521256.1 XP_015521257.1 XP_015521258.2	XP_046611977.1 XP_046611978.1 XP_046611979.1 XP_046611980.1	XP_046415783.1 XP_046415784.1 XP_046415785.1 XP_046415786.1 XP_046415787.1	XP_046738486.1 XP_046738485.1
OG_68	XP_046475010.1 XP_046475011.1 XP_046475012.1	XP_046591001.1 XP_046591002.1 XP_046591003.1	XP_046611987.1 XP_046611988.1 XP_046611989.1	XP_046415805.1 XP_046415806.1 XP_046415807.1	XP_046738490.1
OG_69	XP_046475281.1 XP_046475282.1 XP_046475283.1 XP_046475284.1 XP_046475285.1 XP_046475286.1 XP_046475287.1 XP_046475288.1	XP_015524625.1 XP_015524626.1 XP_015524627.1 XP_015524628.1 XP_046591065.1 XP_046591066.1 XP_046591067.1 XP_046591068.1	XP_046611991.1 XP_046611992.1 XP_046611994.1 XP_046611995.1 XP_046611996.1 XP_046611997.1 XP_046611998.1 XP_046611999.1	XP_046418436.1 XP_046418437.1 XP_046418439.1 XP_046418440.1 XP_046418441.1 XP_046418442.1 XP_046418443.1 XP_046418444.1	XP_046737834.1 XP_046737835.1 XP_046737836.1 XP_046737837.1 XP_046737838.1 XP_046737839.1 XP_046737840.1 XP_046737841.1
OG_70	XP_046493402.1 XP_046464715.1 XP_046493410.1	XP_015516633.1 XP_046595664.1 XP_046595604.1	XP_046611993.1 XP_046612003.1 XP_046612012.1	XP_046435945.1 XP_046435951.1 XP_046435952.1	XP_046745222.1 XP_046745232.1
OG_71	XP_046474235.1 XP_046474236.1	XP_015522844.2 XP_046591449.1	XP_046612057.1 XP_046612058.1	XP_046418565.1 XP_046418566.1	XP_046739282.1
OG_72	XP_046474239.1 XP_046474240.1 XP_046474241.1	XP_046591450.1 XP_046591451.1 XP_015523068.2	XP_046612062.1 XP_046612060.1 XP_046612061.1	XP_046418570.1 XP_046418571.1 XP_046418572.1	XP_046739284.1
OG_73	XP_046474257.1 XP_046474258.1	XP_015523036.1 XP_015523027.1	XP_046612070.1 XP_046612068.1 XP_046612069.1	XP_046418580.1 XP_046418581.1 XP_046418582.1	XP_046739290.1 XP_046739291.1
OG_74	XP_046474215.1 XP_046474216.1 XP_046474217.1	XP_046590663.1 XP_046590664.1 XP_015513688.2	XP_046612072.1 XP_046612073.1 XP_046612074.1	XP_046418417.1 XP_046418415.1 XP_046418416.1	XP_046738561.1 XP_046738562.1 XP_046738563.1
OG_75	XP_046474230.1 XP_046474231.1 XP_046474232.1 XP_046474233.1	XP_046590672.1 XP_046590673.1 XP_046590674.1 XP_015513745.1 XP_015513746.1	XP_046612088.1 XP_046612089.1 XP_046612090.1 XP_046612091.1 XP_046612092.1	XP_046418434.1 XP_046418431.1 XP_046418432.1	XP_046738566.1 XP_046738567.1 XP_046738565.1
OG_76	XP_046474305.1 XP_046474306.1	XP_046591308.1 XP_046591309.1	XP_046612094.1 XP_046612095.1	XP_046418471.1	XP_046739216.1 XP_046739217.1
OG_77	XP_046474317.1 XP_046474318.1 XP_046474319.1 XP_046474320.1 XP_046474321.1 XP_046474322.1 XP_046474323.1 XP_046474324.1 XP_046474325.1	XP_046591318.1 XP_046591319.1 XP_046591320.1 XP_046591321.1 XP_015519581.2 XP_046591322.1 XP_046591323.1 XP_046591324.1	XP_046612105.1 XP_046612106.1 XP_046612107.1 XP_046612108.1 XP_046612109.1 XP_046612110.1 XP_046612111.1 XP_046612112.1 XP_046612114.1	XP_046418487.1 XP_046418488.1 XP_046418489.1 XP_046418490.1 XP_046418492.1 XP_046418493.1 XP_046418494.1 XP_046418495.1	XP_046739226.1 XP_046739227.1 XP_046739228.1 XP_046739229.1 XP_046739231.1 XP_046739232.1 XP_046739233.1
OG_78	XP_046474297.1 XP_046474298.1 XP_046474299.1 XP_046474300.1 XP_046474301.1	XP_046590829.1 XP_046590830.1 XP_046590831.1 XP_046590832.1 XP_015524528.1	XP_046612143.1 XP_046612144.1	XP_046418593.1 XP_046418594.1	XP_046740030.1 XP_046740031.1 XP_046740029.1
OG_79	XP_046472343.1 XP_046472344.1	XP_015524068.2 XP_015524060.2	XP_046612166.1 XP_046612165.1	XP_046416537.1 XP_046416536.1	XP_046739128.1 XP_046739129.1 XP_046739131.1
OG_80	XP_046474532.1 XP_046474533.1	XP_015523427.1 XP_015523426.1	XP_046612206.1 XP_046612207.1	XP_046415433.1 XP_046415434.1	
OG_81	XP_046474328.1 XP_046474329.1 XP_046474330.1	XP_015524134.2 XP_046590720.1 XP_046590721.1	XP_046612247.1 XP_046612248.1 XP_046612249.1 XP_046612250.1	XP_046418537.1 XP_046418538.1 XP_046418539.1 XP_046418536.1	
